name,set,land_type,cycle,color,image_url,thumb_url
Sacred Foundry,GRN,dual land,Shock Lands,WR,https://meta-studios.com/images/cards/full/sacred_foundry.png,https://meta-studios.com/images/cards/thumb/sacred_foundry.png
Temple Garden,GRN,dual land,Shock Lands,WG,https://meta-studios.com/images/cards/full/temple_garden.png,https://meta-studios.com/images/cards/thumb/temple_garden.png
Watery Grave,GRN,dual land,Shock Lands,UB,https://meta-studios.com/images/cards/full/watery_grave.png,https://meta-studios.com/images/cards/thumb/watery_grave.png
Steam Vents,GRN,dual land,Shock Lands,UR,https://meta-studios.com/images/cards/full/steam_vents.png,https://meta-studios.com/images/cards/thumb/steam_vents.png
Overgrown Tomb,GRN,dual land,Shock Lands,BG,https://meta-studios.com/images/cards/full/overgrown_tomb.png,https://meta-studios.com/images/cards/thumb/overgrown_tomb.png
Glacial Fortress,XLN,dual land,Check Lands,WU,https://meta-studios.com/images/cards/full/glacial_fortress.png,https://meta-studios.com/images/cards/thumb/glacial_fortress.png
Isolated Chapel,DOM,dual land,Check Lands,WB,https://meta-studios.com/images/cards/full/isolated_chapel.png,https://meta-studios.com/images/cards/thumb/isolated_chapel.png
Clifftop Retreat,DOM,dual land,Check Lands,WR,https://meta-studios.com/images/cards/full/clifftop_retreat.png,https://meta-studios.com/images/cards/thumb/clifftop_retreat.png
Sunpetal Grove,XLN,dual land,Check Lands,WG,https://meta-studios.com/images/cards/full/sunpetal_grove.png,https://meta-studios.com/images/cards/thumb/sunpetal_grove.png
Drowned Catacomb,XLN,dual land,Check Lands,UB,https://meta-studios.com/images/cards/full/drowned_catacomb.png,https://meta-studios.com/images/cards/thumb/drowned_catacomb.png
Sulfur Falls,DOM,dual land,Check Lands,UR,https://meta-studios.com/images/cards/full/sulfur_falls.png,https://meta-studios.com/images/cards/thumb/sulfur_falls.png
Hinterland Harbor,DOM,dual land,Check Lands,UG,https://meta-studios.com/images/cards/full/hinterland_harbor.png,https://meta-studios.com/images/cards/thumb/hinterland_harbor.png
Dragonskull Summit,XLN,dual land,Check Lands,BR,https://meta-studios.com/images/cards/full/dragonskull_summit.png,https://meta-studios.com/images/cards/thumb/dragonskull_summit.png
Woodland Cemetery,DOM,dual land,Check Lands,BG,https://meta-studios.com/images/cards/full/woodland_cemetery.png,https://meta-studios.com/images/cards/thumb/woodland_cemetery.png
Rootbound Crag,XLN,dual land,Check Lands,RG,https://meta-studios.com/images/cards/full/rootbound_crag.png,https://meta-studios.com/images/cards/thumb/rootbound_crag.png
Meandering River,M19,dual land,Tap Lands,WU,https://meta-studios.com/images/cards/full/meandering_river.png,https://meta-studios.com/images/cards/thumb/meandering_river.png
Forsaken Sanctuary,M19,dual land,Tap Lands,WB,https://meta-studios.com/images/cards/full/forsaken_sanctuary.png,https://meta-studios.com/images/cards/thumb/forsaken_sanctuary.png
