name,set,land_type,cycle,color,image_url,thumb_url
Sacred Foundry,GRN,dual land,Shock Lands,WR
Temple Garden,GRN,dual land,Shock Lands,WG
Watery Grave,GRN,dual land,Shock Lands,UB
Steam Vents,GRN,dual land,Shock Lands,UR
Overgrown Tomb,GRN,dual land,Shock Lands,BG
Glacial Fortress,XLN,dual land,Check Lands,WU
Isolated Chapel,DOM,dual land,Check Lands,WB
Clifftop Retreat,DOM,dual land,Check Lands,WR
Sunpetal Grove,XLN,dual land,Check Lands,WG
Drowned Catacombs,XLN,dual land,Check Lands,UB
Sulfur Falls,DOM,dual land,Check Lands,UR
Hinterland Harbor,DOM,dual land,Check Lands,UG
Dragonskull Summit,XLN,dual land,Check Lands,BR
Woodland Cemetery,DOM,dual land,Check Lands,BG
Rootbound Crag,XLN,dual land,Check Lands,RG
Meandering River,M19,dual land,Tap Lands,WU,
Forsakn Sanctuary,M19,dual land,Tap Lands,WB,
Stone Quarry,M19,dual land,Tap Lands,WR,
Tranquil Expanse,M19,dual land,Tap Lands,WG,
Submerged Boneyard,M19,dual land,Tap Lands,UB,
Highland Lake,M19,dual land,Tap Lands,UR,
Woodland Stream,M19,dual land,Tap Lands,UG,
Cinder Barrens,M19,dual land,Tap Lands,BR,
Foul Orchard,M19,dual land,Tap Lands,BG,
Timber Gorge,M19,dual land,Tap Lands,RG,
Boros Guildgate,GRN,dual land,Guildgates,WR
Selesnya Guildgate,GRN,dual land,Guildgates,WG
Dimir Guildgate,GRN,dual land,Guildgates,UB
Izzet Guildgate,GRN,dual land,Guildgates,UR
Golgari Guildgate,GRN,dual land,Guildgates,BG
Evolving Wilds,RIX,five color,,WURBG
Field of Ruin,XLN,five color,,WURBGC
Gateway Plaza,GRN,five color,,WURBG
Guildmages' Forum,GRN,five color,,WURBGC
Rupture Spire,M19,five color,,WURBG
Unclaimed Territory,XLN,five color,,WURBGC
Unknown Shores,XLN,five color,,WURBGC
Arch of Orazca,RIX,utility land,,C
Cabal Stronghold,DOM,utility land,,BC
Detection Tower,M19,utility land,,C
Memorial to Folly,DOM,utility land,Memorials,B
Memorial to Genius,DOM,utility land,Memorials,U
Memorial to Glory,DOM,utility land,Memorials,W
Memorial to Unity,DOM,utility land,Memorials,G
Memorial to War,DOM,utility land,Memorials,R
Reliquary Tower,M19,utility land,,C
Zhalfirin Void,DOM,utility land,,C
